C:\Users\Kuba\Desktop\Record\IMG\center_2018_01_11_19_51_05_635.jpg,C:\Users\Kuba\Desktop\Record\IMG\left_2018_01_11_19_51_05_635.jpg,C:\Users\Kuba\Desktop\Record\IMG\right_2018_01_11_19_51_05_635.jpg,0,1,0,30.19029
C:\Users\Kuba\Desktop\Record\IMG\center_2018_01_11_19_51_05_723.jpg,C:\Users\Kuba\Desktop\Record\IMG\left_2018_01_11_19_51_05_723.jpg,C:\Users\Kuba\Desktop\Record\IMG\right_2018_01_11_19_51_05_723.jpg,0,1,0,30.19029
C:\Users\Kuba\Desktop\Record\IMG\center_2018_01_11_19_51_05_795.jpg,C:\Users\Kuba\Desktop\Record\IMG\left_2018_01_11_19_51_05_795.jpg,C:\Users\Kuba\Desktop\Record\IMG\right_2018_01_11_19_51_05_795.jpg,0,1,0,30.19028
C:\Users\Kuba\Desktop\Record\IMG\center_2018_01_11_19_51_05_868.jpg,C:\Users\Kuba\Desktop\Record\IMG\left_2018_01_11_19_51_05_868.jpg,C:\Users\Kuba\Desktop\Record\IMG\right_2018_01_11_19_51_05_868.jpg,0,1,0,30.19031
C:\Users\Kuba\Desktop\Record\IMG\center_2018_01_11_19_51_05_946.jpg,C:\Users\Kuba\Desktop\Record\IMG\left_2018_01_11_19_51_05_946.jpg,C:\Users\Kuba\Desktop\Record\IMG\right_2018_01_11_19_51_05_946.jpg,0,1,0,30.1903
C:\Users\Kuba\Desktop\Record\IMG\center_2018_01_11_19_51_06_025.jpg,C:\Users\Kuba\Desktop\Record\IMG\left_2018_01_11_19_51_06_025.jpg,C:\Users\Kuba\Desktop\Record\IMG\right_2018_01_11_19_51_06_025.jpg,0,1,0,30.1903
C:\Users\Kuba\Desktop\Record\IMG\center_2018_01_11_19_51_06_105.jpg,C:\Users\Kuba\Desktop\Record\IMG\left_2018_01_11_19_51_06_105.jpg,C:\Users\Kuba\Desktop\Record\IMG\right_2018_01_11_19_51_06_105.jpg,0,1,0,30.19031
C:\Users\Kuba\Desktop\Record\IMG\center_2018_01_11_19_51_06_184.jpg,C:\Users\Kuba\Desktop\Record\IMG\left_2018_01_11_19_51_06_184.jpg,C:\Users\Kuba\Desktop\Record\IMG\right_2018_01_11_19_51_06_184.jpg,0,1,0,30.1903
C:\Users\Kuba\Desktop\Record\IMG\center_2018_01_11_19_51_06_262.jpg,C:\Users\Kuba\Desktop\Record\IMG\left_2018_01_11_19_51_06_262.jpg,C:\Users\Kuba\Desktop\Record\IMG\right_2018_01_11_19_51_06_262.jpg,0,1,0,30.19031
C:\Users\Kuba\Desktop\Record\IMG\center_2018_01_11_19_51_06_343.jpg,C:\Users\Kuba\Desktop\Record\IMG\left_2018_01_11_19_51_06_343.jpg,C:\Users\Kuba\Desktop\Record\IMG\right_2018_01_11_19_51_06_343.jpg,0,1,0,30.19029
C:\Users\Kuba\Desktop\Record\IMG\center_2018_01_11_19_51_06_421.jpg,C:\Users\Kuba\Desktop\Record\IMG\left_2018_01_11_19_51_06_421.jpg,C:\Users\Kuba\Desktop\Record\IMG\right_2018_01_11_19_51_06_421.jpg,0,1,0,30.19031
